State	Town	7_2009	8_2009
State0	Town0	7286	1166
State1	Town1	8674	1519
State2	Town2	6623	5226
State3	Town3	9595	9522
State4	Town4	9058	3650
State5	Town5	3803	324
State6	Town6	1202	3485
State7	Town7	8054	1763
State8	Town8	7227	1705
State9	Town9	6681	1937
State10	Town10	6347	384
State11	Town11	7847	2632
State12	Town12	3551	4145
State13	Town13	4542	2417
State14	Town14	9919	3637
State15	Town15	4958	3583
State16	Town16	8754	1205
State17	Town17	6758	2523
State18	Town18	9564	7651
State19	Town19	9055	9771
State20	Town20	3120	4884
State21	Town21	7264	6932
State22	Town22	4879	2276
State23	Town23	5219	2781
State24	Town24	3249	2135
State25	Town25	7638	1605
State26	Town26	4727	2512
State27	Town27	6228	1161
State28	Town28	1284	2978
State29	Town29	9034	1107
State30	Town30	2197	4471
State31	Town31	9635	1631
State32	Town32	6045	2416
State33	Town33	8435	189
State34	Town34	5139	1278
State35	Town35	8615	2953
State36	Town36	1015	2946
State37	Town37	2009	2504
State38	Town38	2872	3388
State39	Town39	9764	7603
State40	Town40	9943	2418
State41	Town41	6197	331
State42	Town42	7006	7621
State43	Town43	8014	2199
State44	Town44	2790	2144
State45	Town45	4306	1199
State46	Town46	6429	1948
State47	Town47	1560	2982
State48	Town48	5521	5340
State49	Town49	1607	2714
State50	Town50	3858	4750
State51	Town51	2174	9171
State52	Town52	3951	4194
State53	Town53	3231	1598
State54	Town54	2185	1148
State55	Town55	4745	2343
State56	Town56	7292	2359
State57	Town57	1571	1145
State58	Town58	7925	1237
State59	Town59	2997	2694
State60	Town60	7402	2437
State61	Town61	9649	2911
State62	Town62	6035	943
State63	Town63	3575	7802
State64	Town64	2189	7401
State65	Town65	2100	5230
State66	Town66	3170	1684
State67	Town67	4360	9575
State68	Town68	8707	2519
State69	Town69	4223	1320
State70	Town70	6507	3800
State71	Town71	9599	3621
State72	Town72	8722	1925
State73	Town73	8493	1233
State74	Town74	2725	5147
State75	Town75	7754	9649
State76	Town76	5768	4496
State77	Town77	4340	1792
State78	Town78	7022	1322
State79	Town79	3290	1395
State80	Town80	8293	2841
State81	Town81	4986	3138
State82	Town82	8803	3974
State83	Town83	3839	2835
State84	Town84	6278	411
State85	Town85	9543	615
State86	Town86	6395	1946
State87	Town87	4781	6949
State88	Town88	6060	1968
State89	Town89	6647	9742
State90	Town90	1305	786
State91	Town91	6413	5663
State92	Town92	7345	159
State93	Town93	2477	2394
State94	Town94	9379	1706
State95	Town95	9294	8540
State96	Town96	8453	260
State97	Town97	4634	2980
State98	Town98	3253	3642
State99	Town99	6449	1439
State100	Town100	9533	1418
State101	Town101	9451	1242
State102	Town102	7873	3608
State103	Town103	1510	3571
State104	Town104	8978	2362
State105	Town105	9607	617
State106	Town106	5633	2778
State107	Town107	9843	2174
State108	Town108	2369	2160
State109	Town109	3380	4401
State110	Town110	7697	5331
State111	Town111	1812	6549
State112	Town112	5938	3955
State113	Town113	5098	9697
State114	Town114	8398	8838
State115	Town115	8221	4173
State116	Town116	5857	8975
State117	Town117	1348	8562
State118	Town118	5868	3532
State119	Town119	7705	1369
State120	Town120	2729	1717
State121	Town121	5214	1110
State122	Town122	1533	1809
State123	Town123	8629	1604
State124	Town124	3356	4402
State125	Town125	6815	9681
State126	Town126	5276	4331
State127	Town127	8893	4879
State128	Town128	2735	124
State129	Town129	1225	172
State130	Town130	6958	5732
State131	Town131	5708	1109
State132	Town132	8686	4848
State133	Town133	3761	1200
State134	Town134	7379	7273
State135	Town135	9318	1920
State136	Town136	4897	9169
State137	Town137	3508	173
State138	Town138	8834	2773
State139	Town139	5613	2666
State140	Town140	5505	2671
State141	Town141	2299	1794
State142	Town142	4669	1188
State143	Town143	7404	49
State144	Town144	8471	7414
State145	Town145	6898	4216
State146	Town146	3134	1614
State147	Town147	8926	5690
State148	Town148	3438	2867
State149	Town149	5026	6408
State150	Town150	2759	4908
State151	Town151	9521	1173
State152	Town152	2988	1486
State153	Town153	3195	9357
State154	Town154	5558	1553
State155	Town155	2423	1596
State156	Town156	5213	9834
State157	Town157	8995	2210
State158	Town158	2866	2211
State159	Town159	4682	5488
State160	Town160	6280	9655
State161	Town161	7261	496
State162	Town162	1437	5216
State163	Town163	9734	1181
State164	Town164	5061	3345
State165	Town165	5799	8740
State166	Town166	1169	173
State167	Town167	6200	1132
State168	Town168	4928	3215
State169	Town169	2600	7546
State170	Town170	4915	2892
State171	Town171	2907	4312
State172	Town172	8602	4499
State173	Town173	7802	3281
State174	Town174	6372	5372
State175	Town175	3265	1386
State176	Town176	4184	2272
State177	Town177	3608	5411
State178	Town178	6905	4725
State179	Town179	1939	147
State180	Town180	9234	1386
State181	Town181	6395	1775
State182	Town182	5183	5925
State183	Town183	1290	5756
State184	Town184	5292	3742
State185	Town185	5355	1508
State186	Town186	4197	1412
State187	Town187	3953	188
State188	Town188	1558	6721
State189	Town189	8424	7962
State190	Town190	6356	6391
State191	Town191	4464	8615
State192	Town192	2607	5738
State193	Town193	9968	2651
State194	Town194	2866	7913
State195	Town195	7930	8345
State196	Town196	3847	7626
State197	Town197	8649	8144
State198	Town198	2178	8339
State199	Town199	1903	1167
State200	Town200	6361	2458
State201	Town201	9566	275
State202	Town202	7878	5779
State203	Town203	5772	4764
State204	Town204	7021	2683
State205	Town205	2239	2134
State206	Town206	4999	4234
State207	Town207	3179	9690
State208	Town208	6302	181
State209	Town209	9511	4460
State210	Town210	8731	331
State211	Town211	6995	4878
State212	Town212	3503	325
State213	Town213	2836	2378
State214	Town214	9200	4756
State215	Town215	5783	9937
State216	Town216	1533	8500
State217	Town217	5455	4220
State218	Town218	3566	1260
State219	Town219	2800	1402
State220	Town220	3753	3394
State221	Town221	4338	25
State222	Town222	6393	7542
State223	Town223	5520	9905
State224	Town224	4917	747
State225	Town225	3248	3810
State226	Town226	2111	5186
State227	Town227	5378	1619
State228	Town228	9678	1344
State229	Town229	2919	281
State230	Town230	4788	3775
State231	Town231	2944	1126
State232	Town232	7310	3140
State233	Town233	5210	1600
State234	Town234	3853	2151
State235	Town235	8794	1526
State236	Town236	9177	7173
State237	Town237	5841	6671
State238	Town238	9419	2911
State239	Town239	1331	6587
State240	Town240	4407	3749
State241	Town241	1500	1584
State242	Town242	8074	2255
State243	Town243	3973	3564
State244	Town244	9472	324
State245	Town245	6527	558
State246	Town246	3652	791
State247	Town247	2787	2966
State248	Town248	8588	2535
State249	Town249	2153	5870
State250	Town250	5316	9529
State251	Town251	6791	1991
State252	Town252	7534	4348
State253	Town253	9082	1805
State254	Town254	1353	1824
State255	Town255	4034	3548
State256	Town256	4020	1775
State257	Town257	7538	1267
State258	Town258	3216	9550
State259	Town259	2096	7775
State260	Town260	6809	4543
State261	Town261	2558	2347
State262	Town262	5001	1139
State263	Town263	4544	2717
State264	Town264	2634	2596
State265	Town265	1922	547
State266	Town266	7287	3116
State267	Town267	8448	867
State268	Town268	9675	1385
State269	Town269	6627	2193
State270	Town270	8786	516
State271	Town271	7765	6748
State272	Town272	5274	1432
State273	Town273	6230	1678
State274	Town274	6599	2138
State275	Town275	3886	6149
State276	Town276	6755	4770
State277	Town277	5185	10
State278	Town278	4839	122
State279	Town279	9553	2307
State280	Town280	1083	3330
State281	Town281	5077	4176
State282	Town282	8200	1548
State283	Town283	7218	7156
State284	Town284	1182	3605
State285	Town285	4373	2586
State286	Town286	6481	1553
State287	Town287	6489	2321
State288	Town288	4781	3246
State289	Town289	6590	1984
State290	Town290	5502	8514
State291	Town291	4446	1201
State292	Town292	3162	9329
State293	Town293	7228	4170
State294	Town294	6783	5410
State295	Town295	8231	4308
State296	Town296	3055	4353
State297	Town297	7046	1249
State298	Town298	6988	5214
State299	Town299	2833	1950
State300	Town300	6648	1725
State301	Town301	3316	223
State302	Town302	6630	1645
State303	Town303	4270	1741
State304	Town304	9233	2449
State305	Town305	7847	8863
State306	Town306	6830	8285
State307	Town307	8271	7913
State308	Town308	6132	9152
State309	Town309	4168	547
State310	Town310	5440	1450
State311	Town311	3937	1381
State312	Town312	3772	8472
State313	Town313	8769	4957
State314	Town314	2018	1429
State315	Town315	4930	8237
State316	Town316	6126	1761
State317	Town317	2166	268
State318	Town318	3223	6547
State319	Town319	7960	6284
State320	Town320	5182	1568
State321	Town321	4347	3320
State322	Town322	2853	3763
State323	Town323	9351	1541
State324	Town324	1025	16
State325	Town325	6578	613
State326	Town326	3656	2108
State327	Town327	2491	4585
State328	Town328	3222	6771
State329	Town329	9684	5682
State330	Town330	1964	113
State331	Town331	1241	1153
State332	Town332	7280	1773
State333	Town333	2764	4275
State334	Town334	2247	1146
State335	Town335	6968	5509
State336	Town336	1118	2294
State337	Town337	3684	2931
State338	Town338	4885	129
State339	Town339	4357	2352
State340	Town340	4070	112
State341	Town341	1127	6851
State342	Town342	3758	9582
State343	Town343	7955	9841
State344	Town344	5500	1565
State345	Town345	7947	3414
State346	Town346	5975	2733
State347	Town347	7994	5309
State348	Town348	1540	3726
State349	Town349	9749	3316
State350	Town350	1774	4934
State351	Town351	8111	4364
State352	Town352	9299	3101
State353	Town353	9748	2572
State354	Town354	8276	7205
State355	Town355	6100	5894
State356	Town356	1061	3332
State357	Town357	6357	1431
State358	Town358	4118	275
State359	Town359	6863	6784
State360	Town360	8802	4900
State361	Town361	3008	1545
State362	Town362	6473	2602
State363	Town363	9663	3341
State364	Town364	9232	3408
State365	Town365	3507	2556
